ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
-27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb|Loan Shark // Loan Shark (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wayne Reynolds|6b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/6/loan-shark-loan-shark?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/7/27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb.jpg?1714691124, FLIPID=27d9c8c3-e2f8-4e59-be0d-3debb8ab3fdb}
4ae95b72-d9b7-4315-ba92-035201f26b03|Metamorphic Blast // Metamorphic Blast||Card|||<BR><a href="https://api.scryfall.com/cards/4ae95b72-d9b7-4315-ba92-035201f26b03/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Michal Ivan|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/7/metamorphic-blast-metamorphic-blast?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4ae95b72-d9b7-4315-ba92-035201f26b03.jpg?1714691196, FLIPID=-4ae95b72-d9b7-4315-ba92-035201f26b03}
-4ae95b72-d9b7-4315-ba92-035201f26b03|Metamorphic Blast // Metamorphic Blast (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/4ae95b72-d9b7-4315-ba92-035201f26b03/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Michal Ivan|7b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/7/metamorphic-blast-metamorphic-blast?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/a/4ae95b72-d9b7-4315-ba92-035201f26b03.jpg?1714691196, FLIPID=4ae95b72-d9b7-4315-ba92-035201f26b03}
531365fb-5eb7-47e7-b085-b5ac748df5d9|Razzle-Dazzler // Razzle-Dazzler||Card|||<BR><a href="https://api.scryfall.com/cards/531365fb-5eb7-47e7-b085-b5ac748df5d9/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wayne Wu|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/8/razzle-dazzler-razzle-dazzler?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/531365fb-5eb7-47e7-b085-b5ac748df5d9.jpg?1714691210, FLIPID=-531365fb-5eb7-47e7-b085-b5ac748df5d9}
-531365fb-5eb7-47e7-b085-b5ac748df5d9|Razzle-Dazzler // Razzle-Dazzler (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/531365fb-5eb7-47e7-b085-b5ac748df5d9/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wayne Wu|8b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/8/razzle-dazzler-razzle-dazzler?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/3/531365fb-5eb7-47e7-b085-b5ac748df5d9.jpg?1714691210, FLIPID=531365fb-5eb7-47e7-b085-b5ac748df5d9}
05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca|Tinybones Joins Up // Tinybones Joins Up||Card|||<BR><a href="https://api.scryfall.com/cards/05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wylie Beckert|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/9/tinybones-joins-up-tinybones-joins-up?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca.jpg?1714691224, FLIPID=-05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca}
-05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca|Tinybones Joins Up // Tinybones Joins Up (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Wylie Beckert|9b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/9/tinybones-joins-up-tinybones-joins-up?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/5/05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca.jpg?1714691224, FLIPID=05a7d7ec-e27a-40a0-bff7-b6d5f7a3caca}
184d7990-b315-46d8-b6f9-affbf2d61365|Tinybones, the Pickpocket // Tinybones, the Pickpocket||Card|||<BR><a href="https://api.scryfall.com/cards/184d7990-b315-46d8-b6f9-affbf2d61365/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Ekaterina Burmak|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/10/tinybones-the-pickpocket-tinybones-the-pickpocket?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/8/184d7990-b315-46d8-b6f9-affbf2d61365.jpg?1715954745, FLIPID=-184d7990-b315-46d8-b6f9-affbf2d61365}
-184d7990-b315-46d8-b6f9-affbf2d61365|Tinybones, the Pickpocket // Tinybones, the Pickpocket (art_series)||Card|||<BR><a href="https://api.scryfall.com/cards/184d7990-b315-46d8-b6f9-affbf2d61365/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Ekaterina Burmak|10b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/10/tinybones-the-pickpocket-tinybones-the-pickpocket?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/8/184d7990-b315-46d8-b6f9-affbf2d61365.jpg?1715954745, FLIPID=184d7990-b315-46d8-b6f9-affbf2d61365}
b2e745b0-b0d6-4788-ad60-8ea673eed507|Stingerback Terror // Stingerback Terror||Card|||<BR><a href="https://api.scryfall.com/cards/b2e745b0-b0d6-4788-ad60-8ea673eed507/rulings">Rulings</a>|Outlaws of Thunder Junction Art Series|Common||Slawomir Maniak|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/aotj/11/stingerback-terror-stingerback-terror?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2e745b0-b0d6-4788-ad60-8ea673eed507.jpg?1714691251, FLIPID=-b2e745b0-b0d6-4788-ad60-8ea673eed507}
