ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c0b0dfd2-4eb7-446e-b25f-0ce95576c01e|Joo Dee, One of Many // Joo Dee, One of Many||Card||||Avatar: the Last Airbender Art Cards|Common||Olena Richards|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/8/joo-dee-one-of-many-joo-dee-one-of-many?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0b0dfd2-4eb7-446e-b25f-0ce95576c01e.jpg?1765847746, FLIPID=-c0b0dfd2-4eb7-446e-b25f-0ce95576c01e}
-c0b0dfd2-4eb7-446e-b25f-0ce95576c01e|Joo Dee, One of Many // Joo Dee, One of Many (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Olena Richards|8b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/8/joo-dee-one-of-many-joo-dee-one-of-many?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/0/c0b0dfd2-4eb7-446e-b25f-0ce95576c01e.jpg?1765847746, FLIPID=c0b0dfd2-4eb7-446e-b25f-0ce95576c01e}
b93a1e8b-1518-4cc9-9652-94dd1f7c3b31|Koh, the Face Stealer // Koh, the Face Stealer||Card||||Avatar: the Last Airbender Art Cards|Common||Eduardo Francisco|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/9/koh-the-face-stealer-koh-the-face-stealer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b93a1e8b-1518-4cc9-9652-94dd1f7c3b31.jpg?1765847768, FLIPID=-b93a1e8b-1518-4cc9-9652-94dd1f7c3b31}
-b93a1e8b-1518-4cc9-9652-94dd1f7c3b31|Koh, the Face Stealer // Koh, the Face Stealer (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Eduardo Francisco|9b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/9/koh-the-face-stealer-koh-the-face-stealer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/9/b93a1e8b-1518-4cc9-9652-94dd1f7c3b31.jpg?1765847768, FLIPID=b93a1e8b-1518-4cc9-9652-94dd1f7c3b31}
931bd301-20e9-46be-ad21-064c6b0a0243|Mai, Jaded Edge // Mai, Jaded Edge||Card||||Avatar: the Last Airbender Art Cards|Common||Toraji|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/10/mai-jaded-edge-mai-jaded-edge?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/931bd301-20e9-46be-ad21-064c6b0a0243.jpg?1765847780, FLIPID=-931bd301-20e9-46be-ad21-064c6b0a0243}
-931bd301-20e9-46be-ad21-064c6b0a0243|Mai, Jaded Edge // Mai, Jaded Edge (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Toraji|10b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/10/mai-jaded-edge-mai-jaded-edge?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/9/3/931bd301-20e9-46be-ad21-064c6b0a0243.jpg?1765847780, FLIPID=931bd301-20e9-46be-ad21-064c6b0a0243}
587b2145-f81b-401a-a3b3-15cb8e6048e8|Zhao, the Moon Slayer // Zhao, the Moon Slayer||Card||||Avatar: the Last Airbender Art Cards|Common||Toraji|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/11/zhao-the-moon-slayer-zhao-the-moon-slayer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/587b2145-f81b-401a-a3b3-15cb8e6048e8.jpg?1765847786, FLIPID=-587b2145-f81b-401a-a3b3-15cb8e6048e8}
-587b2145-f81b-401a-a3b3-15cb8e6048e8|Zhao, the Moon Slayer // Zhao, the Moon Slayer (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Toraji|11b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/11/zhao-the-moon-slayer-zhao-the-moon-slayer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/8/587b2145-f81b-401a-a3b3-15cb8e6048e8.jpg?1765847786, FLIPID=587b2145-f81b-401a-a3b3-15cb8e6048e8}
27fb30f0-c5df-4cea-a586-1b6222eee418|Badgermole // Badgermole||Card||||Avatar: the Last Airbender Art Cards|Common||Matteo Bassini|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/12/badgermole-badgermole?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27fb30f0-c5df-4cea-a586-1b6222eee418.jpg?1765847792, FLIPID=-27fb30f0-c5df-4cea-a586-1b6222eee418}
-27fb30f0-c5df-4cea-a586-1b6222eee418|Badgermole // Badgermole (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Matteo Bassini|12b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/12/badgermole-badgermole?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/7/27fb30f0-c5df-4cea-a586-1b6222eee418.jpg?1765847792, FLIPID=27fb30f0-c5df-4cea-a586-1b6222eee418}
a7968699-4ac1-412b-b0fa-c23100fb91ac|The Boulder, Ready to Rumble // The Boulder, Ready to Rumble||Card||||Avatar: the Last Airbender Art Cards|Common||Thanh Tuấn|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/13/the-boulder-ready-to-rumble-the-boulder-ready-to-rumble?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7968699-4ac1-412b-b0fa-c23100fb91ac.jpg?1765847804, FLIPID=-a7968699-4ac1-412b-b0fa-c23100fb91ac}
-a7968699-4ac1-412b-b0fa-c23100fb91ac|The Boulder, Ready to Rumble // The Boulder, Ready to Rumble (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Thanh Tuấn|13b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/13/the-boulder-ready-to-rumble-the-boulder-ready-to-rumble?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/7/a7968699-4ac1-412b-b0fa-c23100fb91ac.jpg?1765847804, FLIPID=a7968699-4ac1-412b-b0fa-c23100fb91ac}
012766da-2057-4f81-a749-c601fd20eb67|Bumi, King of Three Trials // Bumi, King of Three Trials||Card||||Avatar: the Last Airbender Art Cards|Common||Thomas Chamberlain-Keen|14|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/14/bumi-king-of-three-trials-bumi-king-of-three-trials?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/012766da-2057-4f81-a749-c601fd20eb67.jpg?1765847816, FLIPID=-012766da-2057-4f81-a749-c601fd20eb67}
-012766da-2057-4f81-a749-c601fd20eb67|Bumi, King of Three Trials // Bumi, King of Three Trials (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Thomas Chamberlain-Keen|14b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/14/bumi-king-of-three-trials-bumi-king-of-three-trials?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/1/012766da-2057-4f81-a749-c601fd20eb67.jpg?1765847816, FLIPID=012766da-2057-4f81-a749-c601fd20eb67}
a2ccf27e-536c-4266-b115-5ef54455eceb|The Earth King // The Earth King||Card||||Avatar: the Last Airbender Art Cards|Common||Ryota Murayama|15|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/15/the-earth-king-the-earth-king?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2ccf27e-536c-4266-b115-5ef54455eceb.jpg?1765847823, FLIPID=-a2ccf27e-536c-4266-b115-5ef54455eceb}
-a2ccf27e-536c-4266-b115-5ef54455eceb|The Earth King // The Earth King (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Ryota Murayama|15b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/15/the-earth-king-the-earth-king?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/2/a2ccf27e-536c-4266-b115-5ef54455eceb.jpg?1765847823, FLIPID=a2ccf27e-536c-4266-b115-5ef54455eceb}
8e3fdbe1-cfa6-45de-8b97-52cbb197aef8|Pillar Launch // Pillar Launch||Card||||Avatar: the Last Airbender Art Cards|Common||Jo Cordisco|16|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/16/pillar-launch-pillar-launch?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/e/8e3fdbe1-cfa6-45de-8b97-52cbb197aef8.jpg?1765847834, FLIPID=-8e3fdbe1-cfa6-45de-8b97-52cbb197aef8}
-8e3fdbe1-cfa6-45de-8b97-52cbb197aef8|Pillar Launch // Pillar Launch (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Jo Cordisco|16b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/16/pillar-launch-pillar-launch?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/e/8e3fdbe1-cfa6-45de-8b97-52cbb197aef8.jpg?1765847834, FLIPID=8e3fdbe1-cfa6-45de-8b97-52cbb197aef8}
b43d9d0d-e656-4564-865e-88ce15d2f032|Rockalanche // Rockalanche||Card||||Avatar: the Last Airbender Art Cards|Common||Yuu Fujiki|17|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/17/rockalanche-rockalanche?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b43d9d0d-e656-4564-865e-88ce15d2f032.jpg?1765847846, FLIPID=-b43d9d0d-e656-4564-865e-88ce15d2f032}
-b43d9d0d-e656-4564-865e-88ce15d2f032|Rockalanche // Rockalanche (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Yuu Fujiki|17b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/17/rockalanche-rockalanche?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/4/b43d9d0d-e656-4564-865e-88ce15d2f032.jpg?1765847846, FLIPID=b43d9d0d-e656-4564-865e-88ce15d2f032}
2a2f369e-ee47-4e22-ac80-02084f586b9c|Turtle-Duck // Turtle-Duck||Card||||Avatar: the Last Airbender Art Cards|Common||Sylvain Sarrailh|18|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/18/turtle-duck-turtle-duck?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a2f369e-ee47-4e22-ac80-02084f586b9c.jpg?1765847853, FLIPID=-2a2f369e-ee47-4e22-ac80-02084f586b9c}
-2a2f369e-ee47-4e22-ac80-02084f586b9c|Turtle-Duck // Turtle-Duck (art_series)||Card||||Avatar: the Last Airbender Art Cards|Common||Sylvain Sarrailh|18b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/atla/18/turtle-duck-turtle-duck?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/a/2a2f369e-ee47-4e22-ac80-02084f586b9c.jpg?1765847853, FLIPID=2a2f369e-ee47-4e22-ac80-02084f586b9c}
